path,status,query_used_or_tried,source_url,note
assets/images/onboarding/support_locals.jpg,downloaded,Tunisia travel storytelling lifestyle travel photography,https://images.pexels.com/photos/28447097/pexels-photo-28447097.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/onboarding/travel_smart.jpg,downloaded,Tunisia travel storytelling lifestyle travel photography,https://images.pexels.com/photos/28447097/pexels-photo-28447097.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/ariana_accommodation_1.jpg,downloaded,Ariana Tunisia boutique hotel courtyard travel photography,https://images.pexels.com/photos/7391720/pexels-photo-7391720.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/ariana_accommodation_2.jpg,downloaded,Ariana Tunisia boutique hotel courtyard travel photography,https://images.pexels.com/photos/7391720/pexels-photo-7391720.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/ariana_accommodation_21.jpg,downloaded,Ariana Tunisia boutique hotel courtyard travel photography,https://images.pexels.com/photos/7391720/pexels-photo-7391720.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/ariana_accommodation_22.jpg,downloaded,Ariana Tunisia boutique hotel courtyard travel photography,https://images.pexels.com/photos/7391720/pexels-photo-7391720.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/ariana_activity_27.jpg,downloaded,Ariana Tunisia outdoor activity adventure travel photography,https://images.pexels.com/photos/10151343/pexels-photo-10151343.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/ariana_activity_28.jpg,downloaded,Ariana Tunisia outdoor activity adventure travel photography,https://images.pexels.com/photos/10151343/pexels-photo-10151343.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/ariana_activity_7.jpg,downloaded,Ariana Tunisia outdoor activity adventure travel photography,https://images.pexels.com/photos/10151343/pexels-photo-10151343.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/ariana_activity_8.jpg,downloaded,Ariana Tunisia outdoor activity adventure travel photography,https://images.pexels.com/photos/10151343/pexels-photo-10151343.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/ariana_artisan_25.jpg,downloaded,Ariana Tunisia artisan workshop handmade travel photography,https://images.pexels.com/photos/27520661/pexels-photo-27520661.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/ariana_artisan_26.jpg,downloaded,Ariana Tunisia artisan workshop handmade travel photography,https://images.pexels.com/photos/27520661/pexels-photo-27520661.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/ariana_artisan_5.jpg,downloaded,Ariana Tunisia artisan workshop handmade travel photography,https://images.pexels.com/photos/27520661/pexels-photo-27520661.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/ariana_artisan_6.jpg,downloaded,Ariana Tunisia artisan workshop handmade travel photography,https://images.pexels.com/photos/27520661/pexels-photo-27520661.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/ariana_museum_29.jpg,downloaded,Ariana Tunisia museum heritage architecture travel photography,https://images.pexels.com/photos/6983523/pexels-photo-6983523.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/ariana_museum_9.jpg,downloaded,Ariana Tunisia museum heritage architecture travel photography,https://images.pexels.com/photos/6983523/pexels-photo-6983523.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/ariana_naturespot_11.jpg,downloaded,Ariana Tunisia nature panorama travel photography,https://images.pexels.com/photos/15253356/pexels-photo-15253356.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/ariana_naturespot_31.jpg,downloaded,Ariana Tunisia nature panorama travel photography,https://images.pexels.com/photos/15253356/pexels-photo-15253356.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/ariana_restaurant_23.jpg,downloaded,Ariana Tunisia traditional food table travel photography,https://images.pexels.com/photos/8644549/pexels-photo-8644549.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
